NAME;CODE;EDIN_IZM
БИОЛОГИЧЕСКОЕ ПОТРЕБЛЕНИЕ КИСЛОРОДА;BPK;МГ/Л
КИСЛОРОД;O2;МГ/Л
ВЗВЕШЕННЫЕ ВЕЩЕСТВА;VZV;МГ/Л
ХИМИЧЕСКОЕ ПОТРЕБЛЕНИЕ КИСЛОРОДА;BO;МГ/Л
АММОНИЙНЫЙ АЗОТ;NH4;МГ/Л
НИТРАТНЫЙ АЗОТ;NO2;МГ/Л
НИТРАТНЫЙ АЗОТ;NO3;МГ/Л
СЕРОВОДОРОД;H2S;
ХЛОР;CL;МГ/Л
СУЛЬФАТЫ;SO4;МГ/Л
ФЕНОЛЫ;FEN;МГ/Л
НЕФТЕПРОДУКТЫ;NEFT;МГ/Л
СИНТЕТИЧЕСКИЕ ПОВЕРХНОСТНО-АКТИВНЫЕ ВЕЩЕСТВА;SPAV;МГ/Л
МАГНИЙ;MG;МГ/Л
КАЛЬЦИЙ;CA;МГ/Л
ДДТ;DDT;МКГ/Л
МИНЕРАЛИЗАЦИЯ;MINER;МГ/Л
ДДЕ;DDE;МКГ/Л
ГЕКСАХЛОРАН;GXA;МКГ/Л
СМОЛИСТЫЕ ВЕЩЕСТВА;SMOL;МГ/Л
ЛИНДАТ;LINDAT;МКГ/Л
НИКЕЛЬ;NI;МКГ/Л
ФОСФАТЫ;PO4;МГ/Л
ЖЕЛЕЗО ОБЩЕЕ;FE;МГ/Л
МЕДЬ;CU;МКГ/Л
ХРОМ;CR;МКГ/Л
СВИНЕЦ;PB;МКГ/Л
ВАНАДИЙ;V;МКГ/Л
КРЕМНИЙ;SI;МГ/Л
КОБАЛЬТ;CO;МКГ/Л
КАДМИЙ;CD;МКГ/Л
ФТОР;F;
МОЛИБДЕН;MO;МКГ/Л
РАСХОД ВОДЫ;Q;М3/С
ТЕМПЕРАТУРА ВОДЫ;T;ГРАД С
СКОРОСТЬ ТЕЧЕНИЯ;SPEED;М/С
Дата;DAT;ДД.ММ.ГГГГ
